target,t_acc,query,q_acc,evalue,score,sample,contig,query_type,gene_id
3300010354_assembled_Ga0129333_10000799_11,-,ATPase_1,-,8.6e-105,347.1,all,3300010354_assembled_Ga0129333_10000799,ATPase,all_3300010354_assembled_Ga0129333_10000799_vph_11
3300002835_assembled_B570J40625_100004419_20,-,ATPase_1,-,9.2e-105,347,all,3300002835_assembled_B570J40625_100004419,ATPase,all_3300002835_assembled_B570J40625_100004419_vph_20
3300009181_assembled_Ga0114969_10001288_25,-,ATPase_1,-,3.7e-104,345.1,all,3300009181_assembled_Ga0114969_10001288,ATPase,all_3300009181_assembled_Ga0114969_10001288_vph_25
3300023174_assembled_Ga0214921_10004023_3,-,ATPase_1,-,7.6e-104,344,all,3300023174_assembled_Ga0214921_10004023,ATPase,all_3300023174_assembled_Ga0214921_10004023_vph_3
3300027973_assembled_Ga0209298_10000424_23,-,ATPase_1,-,1e-103,343.6,all,3300027973_assembled_Ga0209298_10000424,ATPase,all_3300027973_assembled_Ga0209298_10000424_vph_23
3300010885_assembled_Ga0133913_10009566_15,-,ATPase_1,-,2.6e-103,342.3,all,3300010885_assembled_Ga0133913_10009566,ATPase,all_3300010885_assembled_Ga0133913_10009566_vph_15
3300007540_assembled_Ga0099847_1000087_6,-,ATPase_1,-,6.9e-103,340.9,all,3300007540_assembled_Ga0099847_1000087,ATPase,all_3300007540_assembled_Ga0099847_1000087_vph_6
3300010885_assembled_Ga0133913_10010443_6,-,ATPase_1,-,2.1e-102,339.3,all,3300010885_assembled_Ga0133913_10010443,ATPase,all_3300010885_assembled_Ga0133913_10010443_vph_6
3300010885_assembled_Ga0133913_10015411_11,-,ATPase_1,-,3e-102,338.8,all,3300010885_assembled_Ga0133913_10015411,ATPase,all_3300010885_assembled_Ga0133913_10015411_vph_11
3300007734_assembled_Ga0104986_1721_5,-,ATPase_1,-,5.4e-102,337.9,all,3300007734_assembled_Ga0104986_1721,ATPase,all_3300007734_assembled_Ga0104986_1721_vph_5
3300025487_assembled_Ga0208105_1000377_12,-,ATPase_1,-,1e-101,337.1,all,3300025487_assembled_Ga0208105_1000377,ATPase,all_3300025487_assembled_Ga0208105_1000377_vph_12
KJ854379.1_1,-,ATPase_1,-,1.2e-101,336.8,all,KJ854379.1,ATPase,all_KJ854379.1_vph_1
3300005582_assembled_Ga0049080_10000091_2,-,ATPase_1,-,1.3e-101,336.7,all,3300005582_assembled_Ga0049080_10000091,ATPase,all_3300005582_assembled_Ga0049080_10000091_vph_2
3300005747_assembled_Ga0076924_1015279_30,-,ATPase_1,-,2.1e-101,336,all,3300005747_assembled_Ga0076924_1015279,ATPase,all_3300005747_assembled_Ga0076924_1015279_vph_30
3300006916_assembled_Ga0070750_10000267_13,-,ATPase_1,-,1.2e-100,333.5,all,3300006916_assembled_Ga0070750_10000267,ATPase,all_3300006916_assembled_Ga0070750_10000267_vph_13
3300027708_assembled_Ga0209188_1000973_24,-,ATPase_1,-,1.2e-99,330.3,all,3300027708_assembled_Ga0209188_1000973,ATPase,all_3300027708_assembled_Ga0209188_1000973_vph_24
3300027769_assembled_Ga0209770_10000312_19,-,ATPase_1,-,1.2e-98,327,all,3300027769_assembled_Ga0209770_10000312,ATPase,all_3300027769_assembled_Ga0209770_10000312_vph_19
3300025401_assembled_Ga0207955_1000104_2,-,ATPase_1,-,1.3e-98,326.8,all,3300025401_assembled_Ga0207955_1000104,ATPase,all_3300025401_assembled_Ga0207955_1000104_vph_2
3300009500_assembled_Ga0116229_10007006_21,-,ATPase_1,-,2.2e-98,326.1,all,3300009500_assembled_Ga0116229_10007006,ATPase,all_3300009500_assembled_Ga0116229_10007006_vph_21
3300010885_assembled_Ga0133913_10009934_7,-,ATPase_1,-,5.1e-98,324.9,all,3300010885_assembled_Ga0133913_10009934,ATPase,all_3300010885_assembled_Ga0133913_10009934_vph_7
3300027793_assembled_Ga0209972_10000880_7,-,ATPase_1,-,6.3e-98,324.6,all,3300027793_assembled_Ga0209972_10000880,ATPase,all_3300027793_assembled_Ga0209972_10000880_vph_7
3300010885_assembled_Ga0133913_10013167_23,-,ATPase_1,-,8.1e-98,324.2,all,3300010885_assembled_Ga0133913_10013167,ATPase,all_3300010885_assembled_Ga0133913_10013167_vph_23
3300028413_assembled_Ga0306870_1000093_3,-,ATPase_1,-,2.5e-96,319.4,all,3300028413_assembled_Ga0306870_1000093,ATPase,all_3300028413_assembled_Ga0306870_1000093_vph_3
KC556925.1_1,-,ATPase_1,-,6.6e-94,311.4,all,KC556925.1,ATPase,all_KC556925.1_vph_1
3300002092_assembled_JGI24218J26658_1000290_25,-,ATPase_1,-,2.8e-93,309.4,all,3300002092_assembled_JGI24218J26658_1000290,ATPase,all_3300002092_assembled_JGI24218J26658_1000290_vph_25
3300009183_assembled_Ga0114974_10001000_1,-,ATPase_1,-,1.6e-92,306.9,all,3300009183_assembled_Ga0114974_10001000,ATPase,all_3300009183_assembled_Ga0114974_10001000_vph_1
3300006114_assembled_Ga0007815_1000154_23,-,ATPase_1,-,6.7e-92,304.8,all,3300006114_assembled_Ga0007815_1000154,ATPase,all_3300006114_assembled_Ga0007815_1000154_vph_23
3300009182_assembled_Ga0114959_10001102_27,-,ATPase_1,-,4e-91,302.3,all,3300009182_assembled_Ga0114959_10001102,ATPase,all_3300009182_assembled_Ga0114959_10001102_vph_27
3300019487_assembled_Ga0187893_10009394_10,-,ATPase_1,-,9.3e-91,301.1,all,3300019487_assembled_Ga0187893_10009394,ATPase,all_3300019487_assembled_Ga0187893_10009394_vph_10
3300010413_assembled_Ga0136851_10008908_8,-,ATPase_1,-,1e-90,301,all,3300010413_assembled_Ga0136851_10008908,ATPase,all_3300010413_assembled_Ga0136851_10008908_vph_8
3300032893_assembled_Ga0335069_10005211_12,-,ATPase_1,-,2.1e-90,299.9,all,3300032893_assembled_Ga0335069_10005211,ATPase,all_3300032893_assembled_Ga0335069_10005211_vph_12
3300007541_assembled_Ga0099848_1000221_11,-,ATPase_1,-,6.5e-90,298.3,all,3300007541_assembled_Ga0099848_1000221,ATPase,all_3300007541_assembled_Ga0099848_1000221_vph_11
3300032770_assembled_Ga0335085_10008907_6,-,ATPase_1,-,9.5e-90,297.8,all,3300032770_assembled_Ga0335085_10008907,ATPase,all_3300032770_assembled_Ga0335085_10008907_vph_6
MG807318.2_4,-,ATPase_1,-,1.9e-88,293.5,all,MG807318.2,ATPase,all_MG807318.2_vph_4
3300027777_assembled_Ga0209829_10000789_10,-,ATPase_1,-,5e-88,292.1,all,3300027777_assembled_Ga0209829_10000789,ATPase,all_3300027777_assembled_Ga0209829_10000789_vph_10
3300025646_assembled_Ga0208161_1000494_5,-,ATPase_1,-,6.3e-88,291.8,all,3300025646_assembled_Ga0208161_1000494,ATPase,all_3300025646_assembled_Ga0208161_1000494_vph_5
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_4,-,ATPase_1,-,1.4e-87,290.7,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,ATPase,all_3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_vph_4
3300024254_assembled_Ga0247661_1000063_14,-,ATPase_1,-,1.7e-87,290.3,all,3300024254_assembled_Ga0247661_1000063,ATPase,all_3300024254_assembled_Ga0247661_1000063_vph_14
JN603370.1_3,-,ATPase_1,-,3.3e-87,289.4,all,JN603370.1,ATPase,all_JN603370.1_vph_3
3300021438_assembled_Ga0213920_1000796_9,-,ATPase_1,-,4.3e-87,289.1,all,3300021438_assembled_Ga0213920_1000796,ATPase,all_3300021438_assembled_Ga0213920_1000796_vph_9
3300013094_assembled_Ga0164297_10001420_22,-,ATPase_1,-,4.9e-87,288.9,all,3300013094_assembled_Ga0164297_10001420,ATPase,all_3300013094_assembled_Ga0164297_10001420_vph_22
3300014492_assembled_Ga0182013_10004328_17,-,ATPase_1,-,7.6e-87,288.3,all,3300014492_assembled_Ga0182013_10004328,ATPase,all_3300014492_assembled_Ga0182013_10004328_vph_17
3300009154_assembled_Ga0114963_10000587_7,-,ATPase_1,-,4.3e-85,282.5,all,3300009154_assembled_Ga0114963_10000587,ATPase,all_3300009154_assembled_Ga0114963_10000587_vph_7
3300032665_assembled_Ga0316221_1001987_5,-,ATPase_1,-,7.9e-84,278.4,all,3300032665_assembled_Ga0316221_1001987,ATPase,all_3300032665_assembled_Ga0316221_1001987_vph_5
3300009180_assembled_Ga0114979_10000767_10,-,ATPase_1,-,1.3e-82,274.4,all,3300009180_assembled_Ga0114979_10000767,ATPase,all_3300009180_assembled_Ga0114979_10000767_vph_10
3300017971_assembled_Ga0180438_10003911_17,-,ATPase_1,-,3.4e-82,273,all,3300017971_assembled_Ga0180438_10003911,ATPase,all_3300017971_assembled_Ga0180438_10003911_vph_17
3300029911_assembled_Ga0311361_10011007_11,-,ATPase_1,-,4.7e-82,272.5,all,3300029911_assembled_Ga0311361_10011007,ATPase,all_3300029911_assembled_Ga0311361_10011007_vph_11
3300009548_assembled_Ga0116107_1001113_11,-,ATPase_1,-,4.9e-82,272.5,all,3300009548_assembled_Ga0116107_1001113,ATPase,all_3300009548_assembled_Ga0116107_1001113_vph_11
3300035696_assembled_Ga0374055_0049619_3,-,ATPase_1,-,4e-81,269.5,all,3300035696_assembled_Ga0374055_0049619,ATPase,all_3300035696_assembled_Ga0374055_0049619_vph_3
3300010885_assembled_Ga0133913_10007194_24,-,ATPase_1,-,5e-80,265.9,all,3300010885_assembled_Ga0133913_10007194,ATPase,all_3300010885_assembled_Ga0133913_10007194_vph_24
3300010885_assembled_Ga0133913_10013256_6,-,ATPase_1,-,3.2e-79,263.2,all,3300010885_assembled_Ga0133913_10013256,ATPase,all_3300010885_assembled_Ga0133913_10013256_vph_6
3300025736_assembled_Ga0207997_1001135_6,-,ATPase_1,-,4.9e-79,262.6,all,3300025736_assembled_Ga0207997_1001135,ATPase,all_3300025736_assembled_Ga0207997_1001135_vph_6
3300006109_assembled_Ga0007870_1000162_11,-,ATPase_1,-,3.6e-77,256.5,all,3300006109_assembled_Ga0007870_1000162,ATPase,all_3300006109_assembled_Ga0007870_1000162_vph_11
3300021168_assembled_Ga0210406_10003258_18,-,ATPase_1,-,1.9e-76,254.1,all,3300021168_assembled_Ga0210406_10003258,ATPase,all_3300021168_assembled_Ga0210406_10003258_vph_18
3300009181_assembled_Ga0114969_10000735_13,-,ATPase_1,-,3e-76,253.5,all,3300009181_assembled_Ga0114969_10000735,ATPase,all_3300009181_assembled_Ga0114969_10000735_vph_13
3300017963_assembled_Ga0180437_10003822_9,-,ATPase_1,-,5.8e-76,252.5,all,3300017963_assembled_Ga0180437_10003822,ATPase,all_3300017963_assembled_Ga0180437_10003822_vph_9
3300002091_assembled_JGI24028J26656_1000152_5,-,ATPase_1,-,5.9e-76,252.5,all,3300002091_assembled_JGI24028J26656_1000152,ATPase,all_3300002091_assembled_JGI24028J26656_1000152_vph_5
3300018022_assembled_Ga0187864_10002390_7,-,ATPase_1,-,1.1e-75,251.7,all,3300018022_assembled_Ga0187864_10002390,ATPase,all_3300018022_assembled_Ga0187864_10002390_vph_7
3300025838_assembled_Ga0208872_1000426_13,-,ATPase_1,-,5e-75,249.5,all,3300025838_assembled_Ga0208872_1000426,ATPase,all_3300025838_assembled_Ga0208872_1000426_vph_13
3300010885_assembled_Ga0133913_10017077_2,-,ATPase_1,-,9.4e-75,248.6,all,3300010885_assembled_Ga0133913_10017077,ATPase,all_3300010885_assembled_Ga0133913_10017077_vph_2
3300027763_assembled_Ga0209088_10000481_11,-,ATPase_1,-,1e-74,248.5,all,3300027763_assembled_Ga0209088_10000481,ATPase,all_3300027763_assembled_Ga0209088_10000481_vph_11
3300009184_assembled_Ga0114976_10000413_8,-,ATPase_1,-,1.2e-74,248.3,all,3300009184_assembled_Ga0114976_10000413,ATPase,all_3300009184_assembled_Ga0114976_10000413_vph_8
3300009068_assembled_Ga0114973_10000639_6,-,ATPase_1,-,1.6e-74,247.8,all,3300009068_assembled_Ga0114973_10000639,ATPase,all_3300009068_assembled_Ga0114973_10000639_vph_6
3300009151_assembled_Ga0114962_10000842_24,-,ATPase_1,-,2.8e-74,247,all,3300009151_assembled_Ga0114962_10000842,ATPase,all_3300009151_assembled_Ga0114962_10000842_vph_24
3300009151_assembled_Ga0114962_10000818_19,-,ATPase_1,-,4e-74,246.5,all,3300009151_assembled_Ga0114962_10000818,ATPase,all_3300009151_assembled_Ga0114962_10000818_vph_19
3300010885_assembled_Ga0133913_10008183_16,-,ATPase_1,-,9.1e-74,245.3,all,3300010885_assembled_Ga0133913_10008183,ATPase,all_3300010885_assembled_Ga0133913_10008183_vph_16
3300007735_assembled_Ga0104988_10753_6,-,ATPase_1,-,1.1e-73,245,all,3300007735_assembled_Ga0104988_10753,ATPase,all_3300007735_assembled_Ga0104988_10753_vph_6
3300009151_assembled_Ga0114962_10001373_16,-,ATPase_1,-,1.3e-73,244.8,all,3300009151_assembled_Ga0114962_10001373,ATPase,all_3300009151_assembled_Ga0114962_10001373_vph_16
3300010158_assembled_Ga0114960_10000772_15,-,ATPase_1,-,2.5e-73,243.9,all,3300010158_assembled_Ga0114960_10000772,ATPase,all_3300010158_assembled_Ga0114960_10000772_vph_15
3300009068_assembled_Ga0114973_10000749_7,-,ATPase_1,-,3.6e-73,243.4,all,3300009068_assembled_Ga0114973_10000749,ATPase,all_3300009068_assembled_Ga0114973_10000749_vph_7
3300010885_assembled_Ga0133913_10008424_15,-,ATPase_1,-,5.1e-73,242.9,all,3300010885_assembled_Ga0133913_10008424,ATPase,all_3300010885_assembled_Ga0133913_10008424_vph_15
3300010885_assembled_Ga0133913_10011015_17,-,ATPase_1,-,2.5e-71,237.4,all,3300010885_assembled_Ga0133913_10011015,ATPase,all_3300010885_assembled_Ga0133913_10011015_vph_17
3300009684_assembled_Ga0114958_10000782_18,-,ATPase_1,-,1.6e-69,231.4,all,3300009684_assembled_Ga0114958_10000782,ATPase,all_3300009684_assembled_Ga0114958_10000782_vph_18
3300010885_assembled_Ga0133913_10012256_1,-,ATPase_1,-,2.5e-69,230.8,all,3300010885_assembled_Ga0133913_10012256,ATPase,all_3300010885_assembled_Ga0133913_10012256_vph_1
3300009091_assembled_Ga0102851_10000522_14,-,ATPase_1,-,3.5e-69,230.3,all,3300009091_assembled_Ga0102851_10000522,ATPase,all_3300009091_assembled_Ga0102851_10000522_vph_14
3300010885_assembled_Ga0133913_10027335_13,-,ATPase_1,-,9.6e-68,225.6,all,3300010885_assembled_Ga0133913_10027335,ATPase,all_3300010885_assembled_Ga0133913_10027335_vph_13
3300002835_assembled_B570J40625_100005612_9,-,ATPase_1,-,2.4e-67,224.2,all,3300002835_assembled_B570J40625_100005612,ATPase,all_3300002835_assembled_B570J40625_100005612_vph_9
3300014204_assembled_Ga0172381_10002270_22,-,ATPase_1,-,3.3e-66,220.5,all,3300014204_assembled_Ga0172381_10002270,ATPase,all_3300014204_assembled_Ga0172381_10002270_vph_22
3300010885_assembled_Ga0133913_10012712_3,-,ATPase_1,-,5.5e-64,213.2,all,3300010885_assembled_Ga0133913_10012712,ATPase,all_3300010885_assembled_Ga0133913_10012712_vph_3
3300009111_assembled_Ga0115026_10000109_5,-,ATPase_1,-,5.1e-63,210.1,all,3300009111_assembled_Ga0115026_10000109,ATPase,all_3300009111_assembled_Ga0115026_10000109_vph_5
3300010885_assembled_Ga0133913_10011061_27,-,ATPase_1,-,2.2e-62,208,all,3300010885_assembled_Ga0133913_10011061,ATPase,all_3300010885_assembled_Ga0133913_10011061_vph_27
3300009151_assembled_Ga0114962_10001691_7,-,ATPase_1,-,1.1e-61,205.7,all,3300009151_assembled_Ga0114962_10001691,ATPase,all_3300009151_assembled_Ga0114962_10001691_vph_7
3300009160_assembled_Ga0114981_10001519_4,-,ATPase_1,-,6e-61,203.3,all,3300009160_assembled_Ga0114981_10001519,ATPase,all_3300009160_assembled_Ga0114981_10001519_vph_4
3300002835_assembled_B570J40625_100006411_16,-,ATPase_1,-,2.1e-57,191.6,all,3300002835_assembled_B570J40625_100006411,ATPase,all_3300002835_assembled_B570J40625_100006411_vph_16
3300027749_assembled_Ga0209084_1000714_3,-,ATPase_1,-,1.4e-56,189,all,3300027749_assembled_Ga0209084_1000714,ATPase,all_3300027749_assembled_Ga0209084_1000714_vph_3
KM502591.1_1,-,ATPase_1,-,1.9e-55,185.2,all,KM502591.1,ATPase,all_KM502591.1_vph_1
3300010157_assembled_Ga0114964_10000880_4,-,ATPase_1,-,4.8e-50,167.5,all,3300010157_assembled_Ga0114964_10000880,ATPase,all_3300010157_assembled_Ga0114964_10000880_vph_4
Cflag_017B_10,-,ATPase_1,-,5.7e-42,141,all,Cflag_017B,ATPase,all_Cflag_017B_vph_10
BVI_058_10,-,ATPase_1,-,3.3e-41,138.5,all,BVI_058,ATPase,all_BVI_058_vph_10
3300005831_assembled_Ga0074471_10193221_20,-,ATPase_1,-,9.8e-39,130.4,all,3300005831_assembled_Ga0074471_10193221,ATPase,all_3300005831_assembled_Ga0074471_10193221_vph_20
RCC970_016A_11,-,ATPase_1,-,4.6e-38,128.2,all,RCC970_016A,ATPase,all_RCC970_016A_vph_11
BVI_001A_6,-,ATPase_1,-,1.2e-37,126.8,all,BVI_001A,ATPase,all_BVI_001A_vph_6
3300017971_assembled_Ga0180438_10002894_25,-,ATPase_1,-,8.2e-36,120.8,all,3300017971_assembled_Ga0180438_10002894,ATPase,all_3300017971_assembled_Ga0180438_10002894_vph_25
HQ712116.1_15,-,ATPase_1,-,5.5e-33,111.5,all,HQ712116.1,ATPase,all_HQ712116.1_vph_15
3300009085_assembled_Ga0105103_10000772_3,-,ATPase_1,-,1.9e-32,109.8,all,3300009085_assembled_Ga0105103_10000772,ATPase,all_3300009085_assembled_Ga0105103_10000772_vph_3
E4-10_001_14,-,ATPase_1,-,4.9e-32,108.4,all,E4-10_001,ATPase,all_E4-10_001_vph_14
3300017971_assembled_Ga0180438_10002894_1,-,ATPase_1,-,2.3e-27,93.1,all,3300017971_assembled_Ga0180438_10002894,ATPase,all_3300017971_assembled_Ga0180438_10002894_vph_1
3300009181_assembled_Ga0114969_10000735_13,-,ATPase_2,-,5.5e-133,440.4,all,3300009181_assembled_Ga0114969_10000735,ATPase,all_3300009181_assembled_Ga0114969_10000735_vph_13
3300025838_assembled_Ga0208872_1000426_13,-,ATPase_2,-,9.1e-130,429.8,all,3300025838_assembled_Ga0208872_1000426,ATPase,all_3300025838_assembled_Ga0208872_1000426_vph_13
3300009184_assembled_Ga0114976_10000413_8,-,ATPase_2,-,4.7e-128,424.1,all,3300009184_assembled_Ga0114976_10000413,ATPase,all_3300009184_assembled_Ga0114976_10000413_vph_8
3300027763_assembled_Ga0209088_10000481_11,-,ATPase_2,-,5.7e-128,423.9,all,3300027763_assembled_Ga0209088_10000481,ATPase,all_3300027763_assembled_Ga0209088_10000481_vph_11
3300006109_assembled_Ga0007870_1000162_11,-,ATPase_2,-,7.1e-128,423.6,all,3300006109_assembled_Ga0007870_1000162,ATPase,all_3300006109_assembled_Ga0007870_1000162_vph_11
3300009068_assembled_Ga0114973_10000639_6,-,ATPase_2,-,3.1e-127,421.4,all,3300009068_assembled_Ga0114973_10000639,ATPase,all_3300009068_assembled_Ga0114973_10000639_vph_6
3300009151_assembled_Ga0114962_10000818_19,-,ATPase_2,-,8.7e-126,416.7,all,3300009151_assembled_Ga0114962_10000818,ATPase,all_3300009151_assembled_Ga0114962_10000818_vph_19
3300009068_assembled_Ga0114973_10000749_7,-,ATPase_2,-,3e-125,414.9,all,3300009068_assembled_Ga0114973_10000749,ATPase,all_3300009068_assembled_Ga0114973_10000749_vph_7
3300010885_assembled_Ga0133913_10017077_2,-,ATPase_2,-,1e-124,413.2,all,3300010885_assembled_Ga0133913_10017077,ATPase,all_3300010885_assembled_Ga0133913_10017077_vph_2
3300010885_assembled_Ga0133913_10007194_24,-,ATPase_2,-,4.2e-124,411.2,all,3300010885_assembled_Ga0133913_10007194,ATPase,all_3300010885_assembled_Ga0133913_10007194_vph_24
3300009151_assembled_Ga0114962_10000842_24,-,ATPase_2,-,1.7e-123,409.1,all,3300009151_assembled_Ga0114962_10000842,ATPase,all_3300009151_assembled_Ga0114962_10000842_vph_24
3300002091_assembled_JGI24028J26656_1000152_5,-,ATPase_2,-,3.6e-123,408.1,all,3300002091_assembled_JGI24028J26656_1000152,ATPase,all_3300002091_assembled_JGI24028J26656_1000152_vph_5
3300010158_assembled_Ga0114960_10000772_15,-,ATPase_2,-,1.3e-122,406.2,all,3300010158_assembled_Ga0114960_10000772,ATPase,all_3300010158_assembled_Ga0114960_10000772_vph_15
3300009684_assembled_Ga0114958_10000782_18,-,ATPase_2,-,4.9e-119,394.5,all,3300009684_assembled_Ga0114958_10000782,ATPase,all_3300009684_assembled_Ga0114958_10000782_vph_18
3300010885_assembled_Ga0133913_10012256_1,-,ATPase_2,-,9.4e-118,390.3,all,3300010885_assembled_Ga0133913_10012256,ATPase,all_3300010885_assembled_Ga0133913_10012256_vph_1
3300007735_assembled_Ga0104988_10753_6,-,ATPase_2,-,8.3e-117,387.2,all,3300007735_assembled_Ga0104988_10753,ATPase,all_3300007735_assembled_Ga0104988_10753_vph_6
3300010885_assembled_Ga0133913_10011015_17,-,ATPase_2,-,1.1e-114,380.2,all,3300010885_assembled_Ga0133913_10011015,ATPase,all_3300010885_assembled_Ga0133913_10011015_vph_17
3300010885_assembled_Ga0133913_10008424_15,-,ATPase_2,-,2.6e-108,359.3,all,3300010885_assembled_Ga0133913_10008424,ATPase,all_3300010885_assembled_Ga0133913_10008424_vph_15
3300010885_assembled_Ga0133913_10008183_16,-,ATPase_2,-,9.1e-108,357.5,all,3300010885_assembled_Ga0133913_10008183,ATPase,all_3300010885_assembled_Ga0133913_10008183_vph_16
3300010413_assembled_Ga0136851_10008908_8,-,ATPase_2,-,2.4e-94,313.3,all,3300010413_assembled_Ga0136851_10008908,ATPase,all_3300010413_assembled_Ga0136851_10008908_vph_8
3300009500_assembled_Ga0116229_10007006_21,-,ATPase_2,-,1.8e-93,310.4,all,3300009500_assembled_Ga0116229_10007006,ATPase,all_3300009500_assembled_Ga0116229_10007006_vph_21
3300009163_assembled_Ga0114970_10000439_10,-,ATPase_2,-,2.3e-85,283.8,all,3300009163_assembled_Ga0114970_10000439,ATPase,all_3300009163_assembled_Ga0114970_10000439_vph_10
3300010885_assembled_Ga0133913_10027335_13,-,ATPase_2,-,6.9e-85,282.3,all,3300010885_assembled_Ga0133913_10027335,ATPase,all_3300010885_assembled_Ga0133913_10027335_vph_13
