target,t_acc,query,q_acc,evalue,score,sample,contig,query_type
3300035696_assembled_Ga0374055_0049619_3,-,ATPase_1,-,4e-81,269.5,all,3300035696_assembled_Ga0374055_0049619,ATPase
3300010885_assembled_Ga0133913_10007194_24,-,ATPase_1,-,5e-80,265.9,all,3300010885_assembled_Ga0133913_10007194,ATPase
3300010885_assembled_Ga0133913_10013256_6,-,ATPase_1,-,3.2e-79,263.2,all,3300010885_assembled_Ga0133913_10013256,ATPase
3300025736_assembled_Ga0207997_1001135_6,-,ATPase_1,-,4.9e-79,262.6,all,3300025736_assembled_Ga0207997_1001135,ATPase
3300006109_assembled_Ga0007870_1000162_11,-,ATPase_1,-,3.6e-77,256.5,all,3300006109_assembled_Ga0007870_1000162,ATPase
3300021168_assembled_Ga0210406_10003258_18,-,ATPase_1,-,1.9e-76,254.1,all,3300021168_assembled_Ga0210406_10003258,ATPase
3300009181_assembled_Ga0114969_10000735_13,-,ATPase_1,-,3e-76,253.5,all,3300009181_assembled_Ga0114969_10000735,ATPase
3300017963_assembled_Ga0180437_10003822_9,-,ATPase_1,-,5.8e-76,252.5,all,3300017963_assembled_Ga0180437_10003822,ATPase
3300002091_assembled_JGI24028J26656_1000152_5,-,ATPase_1,-,5.9e-76,252.5,all,3300002091_assembled_JGI24028J26656_1000152,ATPase
3300018022_assembled_Ga0187864_10002390_7,-,ATPase_1,-,1.1e-75,251.7,all,3300018022_assembled_Ga0187864_10002390,ATPase
3300025838_assembled_Ga0208872_1000426_13,-,ATPase_1,-,5e-75,249.5,all,3300025838_assembled_Ga0208872_1000426,ATPase
3300010885_assembled_Ga0133913_10017077_2,-,ATPase_1,-,9.4e-75,248.6,all,3300010885_assembled_Ga0133913_10017077,ATPase
3300027763_assembled_Ga0209088_10000481_11,-,ATPase_1,-,1e-74,248.5,all,3300027763_assembled_Ga0209088_10000481,ATPase
3300009184_assembled_Ga0114976_10000413_8,-,ATPase_1,-,1.2e-74,248.3,all,3300009184_assembled_Ga0114976_10000413,ATPase
3300009068_assembled_Ga0114973_10000639_6,-,ATPase_1,-,1.6e-74,247.8,all,3300009068_assembled_Ga0114973_10000639,ATPase
3300009151_assembled_Ga0114962_10000842_24,-,ATPase_1,-,2.8e-74,247,all,3300009151_assembled_Ga0114962_10000842,ATPase
3300009151_assembled_Ga0114962_10000818_19,-,ATPase_1,-,4e-74,246.5,all,3300009151_assembled_Ga0114962_10000818,ATPase
3300010885_assembled_Ga0133913_10008183_16,-,ATPase_1,-,9.1e-74,245.3,all,3300010885_assembled_Ga0133913_10008183,ATPase
3300007735_assembled_Ga0104988_10753_6,-,ATPase_1,-,1.1e-73,245,all,3300007735_assembled_Ga0104988_10753,ATPase
3300009151_assembled_Ga0114962_10001373_16,-,ATPase_1,-,1.3e-73,244.8,all,3300009151_assembled_Ga0114962_10001373,ATPase
3300010158_assembled_Ga0114960_10000772_15,-,ATPase_1,-,2.5e-73,243.9,all,3300010158_assembled_Ga0114960_10000772,ATPase
3300009068_assembled_Ga0114973_10000749_7,-,ATPase_1,-,3.6e-73,243.4,all,3300009068_assembled_Ga0114973_10000749,ATPase
3300010885_assembled_Ga0133913_10008424_15,-,ATPase_1,-,5.1e-73,242.9,all,3300010885_assembled_Ga0133913_10008424,ATPase
3300010885_assembled_Ga0133913_10011015_17,-,ATPase_1,-,2.5e-71,237.4,all,3300010885_assembled_Ga0133913_10011015,ATPase
3300009684_assembled_Ga0114958_10000782_18,-,ATPase_1,-,1.6e-69,231.4,all,3300009684_assembled_Ga0114958_10000782,ATPase
3300010885_assembled_Ga0133913_10012256_1,-,ATPase_1,-,2.5e-69,230.8,all,3300010885_assembled_Ga0133913_10012256,ATPase
3300009091_assembled_Ga0102851_10000522_14,-,ATPase_1,-,3.5e-69,230.3,all,3300009091_assembled_Ga0102851_10000522,ATPase
3300010885_assembled_Ga0133913_10027335_13,-,ATPase_1,-,9.6e-68,225.6,all,3300010885_assembled_Ga0133913_10027335,ATPase
3300002835_assembled_B570J40625_100005612_9,-,ATPase_1,-,2.4e-67,224.2,all,3300002835_assembled_B570J40625_100005612,ATPase
3300014204_assembled_Ga0172381_10002270_22,-,ATPase_1,-,3.3e-66,220.5,all,3300014204_assembled_Ga0172381_10002270,ATPase
3300010885_assembled_Ga0133913_10012712_3,-,ATPase_1,-,5.5e-64,213.2,all,3300010885_assembled_Ga0133913_10012712,ATPase
3300009111_assembled_Ga0115026_10000109_5,-,ATPase_1,-,5.1e-63,210.1,all,3300009111_assembled_Ga0115026_10000109,ATPase
3300010885_assembled_Ga0133913_10011061_27,-,ATPase_1,-,2.2e-62,208,all,3300010885_assembled_Ga0133913_10011061,ATPase
3300009151_assembled_Ga0114962_10001691_7,-,ATPase_1,-,1.1e-61,205.7,all,3300009151_assembled_Ga0114962_10001691,ATPase
3300009160_assembled_Ga0114981_10001519_4,-,ATPase_1,-,6e-61,203.3,all,3300009160_assembled_Ga0114981_10001519,ATPase
3300002835_assembled_B570J40625_100006411_16,-,ATPase_1,-,2.1e-57,191.6,all,3300002835_assembled_B570J40625_100006411,ATPase
3300027749_assembled_Ga0209084_1000714_3,-,ATPase_1,-,1.4e-56,189,all,3300027749_assembled_Ga0209084_1000714,ATPase
KM502591.1_1,-,ATPase_1,-,1.9e-55,185.2,all,KM502591.1,ATPase
3300010157_assembled_Ga0114964_10000880_4,-,ATPase_1,-,4.8e-50,167.5,all,3300010157_assembled_Ga0114964_10000880,ATPase
Cflag_017B_10,-,ATPase_1,-,5.7e-42,141,all,Cflag_017B,ATPase
BVI_058_10,-,ATPase_1,-,3.3e-41,138.5,all,BVI_058,ATPase
3300005831_assembled_Ga0074471_10193221_20,-,ATPase_1,-,9.8e-39,130.4,all,3300005831_assembled_Ga0074471_10193221,ATPase
RCC970_016A_11,-,ATPase_1,-,4.6e-38,128.2,all,RCC970_016A,ATPase
BVI_001A_6,-,ATPase_1,-,1.2e-37,126.8,all,BVI_001A,ATPase
3300017971_assembled_Ga0180438_10002894_25,-,ATPase_1,-,8.2e-36,120.8,all,3300017971_assembled_Ga0180438_10002894,ATPase
HQ712116.1_15,-,ATPase_1,-,5.5e-33,111.5,all,HQ712116.1,ATPase
3300009085_assembled_Ga0105103_10000772_3,-,ATPase_1,-,1.9e-32,109.8,all,3300009085_assembled_Ga0105103_10000772,ATPase
E4-10_001_14,-,ATPase_1,-,4.9e-32,108.4,all,E4-10_001,ATPase
3300017971_assembled_Ga0180438_10002894_1,-,ATPase_1,-,2.3e-27,93.1,all,3300017971_assembled_Ga0180438_10002894,ATPase
3300009181_assembled_Ga0114969_10000735_13,-,ATPase_2,-,5.5e-133,440.4,all,3300009181_assembled_Ga0114969_10000735,ATPase
3300025838_assembled_Ga0208872_1000426_13,-,ATPase_2,-,9.1e-130,429.8,all,3300025838_assembled_Ga0208872_1000426,ATPase
3300009184_assembled_Ga0114976_10000413_8,-,ATPase_2,-,4.7e-128,424.1,all,3300009184_assembled_Ga0114976_10000413,ATPase
3300027763_assembled_Ga0209088_10000481_11,-,ATPase_2,-,5.7e-128,423.9,all,3300027763_assembled_Ga0209088_10000481,ATPase
3300006109_assembled_Ga0007870_1000162_11,-,ATPase_2,-,7.1e-128,423.6,all,3300006109_assembled_Ga0007870_1000162,ATPase
3300009068_assembled_Ga0114973_10000639_6,-,ATPase_2,-,3.1e-127,421.4,all,3300009068_assembled_Ga0114973_10000639,ATPase
3300009151_assembled_Ga0114962_10000818_19,-,ATPase_2,-,8.7e-126,416.7,all,3300009151_assembled_Ga0114962_10000818,ATPase
3300009068_assembled_Ga0114973_10000749_7,-,ATPase_2,-,3e-125,414.9,all,3300009068_assembled_Ga0114973_10000749,ATPase
3300010885_assembled_Ga0133913_10017077_2,-,ATPase_2,-,1e-124,413.2,all,3300010885_assembled_Ga0133913_10017077,ATPase
3300010885_assembled_Ga0133913_10007194_24,-,ATPase_2,-,4.2e-124,411.2,all,3300010885_assembled_Ga0133913_10007194,ATPase
3300009151_assembled_Ga0114962_10000842_24,-,ATPase_2,-,1.7e-123,409.1,all,3300009151_assembled_Ga0114962_10000842,ATPase
3300002091_assembled_JGI24028J26656_1000152_5,-,ATPase_2,-,3.6e-123,408.1,all,3300002091_assembled_JGI24028J26656_1000152,ATPase
3300010158_assembled_Ga0114960_10000772_15,-,ATPase_2,-,1.3e-122,406.2,all,3300010158_assembled_Ga0114960_10000772,ATPase
3300009684_assembled_Ga0114958_10000782_18,-,ATPase_2,-,4.9e-119,394.5,all,3300009684_assembled_Ga0114958_10000782,ATPase
3300010885_assembled_Ga0133913_10012256_1,-,ATPase_2,-,9.4e-118,390.3,all,3300010885_assembled_Ga0133913_10012256,ATPase
3300007735_assembled_Ga0104988_10753_6,-,ATPase_2,-,8.3e-117,387.2,all,3300007735_assembled_Ga0104988_10753,ATPase
3300010885_assembled_Ga0133913_10011015_17,-,ATPase_2,-,1.1e-114,380.2,all,3300010885_assembled_Ga0133913_10011015,ATPase
3300010885_assembled_Ga0133913_10008424_15,-,ATPase_2,-,2.6e-108,359.3,all,3300010885_assembled_Ga0133913_10008424,ATPase
3300010885_assembled_Ga0133913_10008183_16,-,ATPase_2,-,9.1e-108,357.5,all,3300010885_assembled_Ga0133913_10008183,ATPase
3300010413_assembled_Ga0136851_10008908_8,-,ATPase_2,-,2.4e-94,313.3,all,3300010413_assembled_Ga0136851_10008908,ATPase
3300009500_assembled_Ga0116229_10007006_21,-,ATPase_2,-,1.8e-93,310.4,all,3300009500_assembled_Ga0116229_10007006,ATPase
3300009163_assembled_Ga0114970_10000439_10,-,ATPase_2,-,2.3e-85,283.8,all,3300009163_assembled_Ga0114970_10000439,ATPase
3300010885_assembled_Ga0133913_10027335_13,-,ATPase_2,-,6.9e-85,282.3,all,3300010885_assembled_Ga0133913_10027335,ATPase
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_4,-,ATPase_2,-,2e-84,280.8,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,ATPase
3300009548_assembled_Ga0116107_1001113_11,-,ATPase_2,-,1.9e-83,277.6,all,3300009548_assembled_Ga0116107_1001113,ATPase
3300009183_assembled_Ga0114974_10000518_21,-,ATPase_2,-,3.6e-83,276.6,all,3300009183_assembled_Ga0114974_10000518,ATPase
3300010354_assembled_Ga0129333_10000799_11,-,ATPase_2,-,1.6e-82,274.5,all,3300010354_assembled_Ga0129333_10000799,ATPase
OL828819.1_14,-,ATPase_2,-,4.1e-82,273.2,all,OL828819.1,ATPase
3300023174_assembled_Ga0214921_10004023_3,-,ATPase_2,-,6.7e-82,272.4,all,3300023174_assembled_Ga0214921_10004023,ATPase
3300002835_assembled_B570J40625_100004419_20,-,ATPase_2,-,1.9e-81,270.9,all,3300002835_assembled_B570J40625_100004419,ATPase
3300027749_assembled_Ga0209084_1000714_3,-,ATPase_2,-,2.7e-81,270.4,all,3300027749_assembled_Ga0209084_1000714,ATPase
3300025487_assembled_Ga0208105_1000377_12,-,ATPase_2,-,4e-81,269.9,all,3300025487_assembled_Ga0208105_1000377,ATPase
3300007541_assembled_Ga0099848_1000221_11,-,ATPase_2,-,7.5e-81,269,all,3300007541_assembled_Ga0099848_1000221,ATPase
3300027973_assembled_Ga0209298_10000424_23,-,ATPase_2,-,4.2e-80,266.5,all,3300027973_assembled_Ga0209298_10000424,ATPase
3300010885_assembled_Ga0133913_10013256_6,-,ATPase_2,-,8.8e-80,265.5,all,3300010885_assembled_Ga0133913_10013256,ATPase
3300006916_assembled_Ga0070750_10000267_13,-,ATPase_2,-,1.1e-79,265.2,all,3300006916_assembled_Ga0070750_10000267,ATPase
3300007734_assembled_Ga0104986_1721_5,-,ATPase_2,-,2.4e-79,264,all,3300007734_assembled_Ga0104986_1721,ATPase
3300010885_assembled_Ga0133913_10013167_23,-,ATPase_2,-,2.6e-79,263.9,all,3300010885_assembled_Ga0133913_10013167,ATPase
3300027708_assembled_Ga0209188_1000973_24,-,ATPase_2,-,7.8e-79,262.4,all,3300027708_assembled_Ga0209188_1000973,ATPase
3300010885_assembled_Ga0133913_10010443_6,-,ATPase_2,-,9.6e-79,262.1,all,3300010885_assembled_Ga0133913_10010443,ATPase
3300010885_assembled_Ga0133913_10009135_15,-,ATPase_2,-,1.6e-78,261.3,all,3300010885_assembled_Ga0133913_10009135,ATPase
3300010334_assembled_Ga0136644_10000572_10,-,ATPase_2,-,1.9e-78,261.1,all,3300010334_assembled_Ga0136644_10000572,ATPase
3300007540_assembled_Ga0099847_1000087_6,-,ATPase_2,-,5e-78,259.7,all,3300007540_assembled_Ga0099847_1000087,ATPase
3300025736_assembled_Ga0207997_1001135_6,-,ATPase_2,-,9.7e-78,258.8,all,3300025736_assembled_Ga0207997_1001135,ATPase
3300021438_assembled_Ga0213920_1000796_9,-,ATPase_2,-,1.1e-77,258.5,all,3300021438_assembled_Ga0213920_1000796,ATPase
3300005747_assembled_Ga0076924_1015279_30,-,ATPase_2,-,1.1e-77,258.5,all,3300005747_assembled_Ga0076924_1015279,ATPase
MG807318.2_4,-,ATPase_2,-,3.4e-77,257,all,MG807318.2,ATPase
KJ854379.1_1,-,ATPase_2,-,3.9e-77,256.8,all,KJ854379.1,ATPase
3300025401_assembled_Ga0207955_1000104_2,-,ATPase_2,-,7.4e-77,255.9,all,3300025401_assembled_Ga0207955_1000104,ATPase
3300010885_assembled_Ga0133913_10009566_15,-,ATPase_2,-,1.1e-76,255.3,all,3300010885_assembled_Ga0133913_10009566,ATPase
3300019487_assembled_Ga0187893_10009394_10,-,ATPase_2,-,1.2e-76,255.2,all,3300019487_assembled_Ga0187893_10009394,ATPase
3300009181_assembled_Ga0114969_10001288_25,-,ATPase_2,-,2.1e-76,254.4,all,3300009181_assembled_Ga0114969_10001288,ATPase
3300017971_assembled_Ga0180438_10003911_17,-,ATPase_2,-,2.4e-76,254.2,all,3300017971_assembled_Ga0180438_10003911,ATPase
3300032893_assembled_Ga0335069_10005211_12,-,ATPase_2,-,5.3e-76,253,all,3300032893_assembled_Ga0335069_10005211,ATPase
3300027793_assembled_Ga0209972_10000880_7,-,ATPase_2,-,7.9e-76,252.5,all,3300027793_assembled_Ga0209972_10000880,ATPase
3300010885_assembled_Ga0133913_10015411_11,-,ATPase_2,-,9.8e-76,252.2,all,3300010885_assembled_Ga0133913_10015411,ATPase
3300005582_assembled_Ga0049080_10000091_2,-,ATPase_2,-,1.7e-75,251.4,all,3300005582_assembled_Ga0049080_10000091,ATPase
KC556925.1_1,-,ATPase_2,-,3.4e-75,250.4,all,KC556925.1,ATPase
3300010885_assembled_Ga0133913_10009934_7,-,ATPase_2,-,1.1e-74,248.7,all,3300010885_assembled_Ga0133913_10009934,ATPase
3300027769_assembled_Ga0209770_10000312_19,-,ATPase_2,-,1.3e-74,248.5,all,3300027769_assembled_Ga0209770_10000312,ATPase
3300025646_assembled_Ga0208161_1000494_5,-,ATPase_2,-,2.2e-74,247.7,all,3300025646_assembled_Ga0208161_1000494,ATPase
JN603370.1_3,-,ATPase_2,-,2.6e-74,247.5,all,JN603370.1,ATPase
3300014492_assembled_Ga0182013_10004328_17,-,ATPase_2,-,2.9e-74,247.3,all,3300014492_assembled_Ga0182013_10004328,ATPase
3300024254_assembled_Ga0247661_1000063_14,-,ATPase_2,-,3.2e-73,243.9,all,3300024254_assembled_Ga0247661_1000063,ATPase
3300017963_assembled_Ga0180437_10003822_9,-,ATPase_2,-,6.2e-73,243,all,3300017963_assembled_Ga0180437_10003822,ATPase
3300032770_assembled_Ga0335085_10008907_6,-,ATPase_2,-,1.7e-72,241.5,all,3300032770_assembled_Ga0335085_10008907,ATPase
3300002092_assembled_JGI24218J26658_1000290_25,-,ATPase_2,-,2e-72,241.3,all,3300002092_assembled_JGI24218J26658_1000290,ATPase
3300028413_assembled_Ga0306870_1000093_3,-,ATPase_2,-,2e-72,241.3,all,3300028413_assembled_Ga0306870_1000093,ATPase
3300009183_assembled_Ga0114974_10001000_1,-,ATPase_2,-,1.4e-71,238.5,all,3300009183_assembled_Ga0114974_10001000,ATPase
3300009182_assembled_Ga0114959_10001102_27,-,ATPase_2,-,2e-70,234.7,all,3300009182_assembled_Ga0114959_10001102,ATPase
3300006114_assembled_Ga0007815_1000154_23,-,ATPase_2,-,3.3e-70,234,all,3300006114_assembled_Ga0007815_1000154,ATPase
3300013094_assembled_Ga0164297_10001420_22,-,ATPase_2,-,4.8e-70,233.5,all,3300013094_assembled_Ga0164297_10001420,ATPase
3300010885_assembled_Ga0133913_10012712_3,-,ATPase_2,-,8.8e-70,232.6,all,3300010885_assembled_Ga0133913_10012712,ATPase
3300029911_assembled_Ga0311361_10011007_11,-,ATPase_2,-,9.6e-70,232.5,all,3300029911_assembled_Ga0311361_10011007,ATPase
3300009160_assembled_Ga0114981_10001519_4,-,ATPase_2,-,1.5e-69,231.9,all,3300009160_assembled_Ga0114981_10001519,ATPase
3300027777_assembled_Ga0209829_10000789_10,-,ATPase_2,-,2.7e-69,231,all,3300027777_assembled_Ga0209829_10000789,ATPase
3300009091_assembled_Ga0102851_10000522_14,-,ATPase_2,-,3.8e-69,230.5,all,3300009091_assembled_Ga0102851_10000522,ATPase
3300032665_assembled_Ga0316221_1001987_5,-,ATPase_2,-,4.8e-69,230.2,all,3300032665_assembled_Ga0316221_1001987,ATPase
