molecule,gene,start,end,strand,orientation,gc_content,annotation
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_10,6694,6981,forward,0,0.243,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_11,7028,7198,forward,0,0.216,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_12,7204,7752,reverse,1,0.288,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_13,7721,7840,reverse,1,0.233,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_14,7896,8132,forward,0,0.287,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_15,8155,8391,forward,0,0.354,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_16,8459,10873,forward,0,0.33,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_17,10882,11685,reverse,1,0.226,ATPase_1
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_18,11742,11984,forward,0,0.267,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_19,11981,12769,reverse,1,0.256,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_20,12927,13277,reverse,1,0.282,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_21,13249,13488,reverse,1,0.271,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_22,13519,14451,reverse,1,0.322,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_23,14604,16298,reverse,1,0.33,MCP_1
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_24,16501,16716,forward,0,0.231,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_25,16746,16931,reverse,1,0.21,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_26,16937,17311,reverse,1,0.28,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_27,17339,18007,reverse,1,0.209,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_28,18015,18272,reverse,1,0.233,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_29,18241,18909,reverse,1,0.271,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_30,18957,20057,forward,0,0.277,Penton_1
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_31,20089,20643,forward,0,0.245,PRO_1
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_32,21438,21593,reverse,1,0.237,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_1,3,92,forward,0,0.411,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_2,165,404,forward,0,0.275,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_3,416,619,forward,0,0.289,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_4,609,911,forward,0,0.231,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_5,947,2218,forward,0,0.314,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_6,2245,2988,forward,0,0.306,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_7,2995,3522,forward,0,0.271,PRO_1
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_8,3544,4623,forward,0,0.29,Penton_1
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_9,4657,5718,forward,0,0.357,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_10,5715,6290,forward,0,0.278,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_11,6305,7069,reverse,1,0.298,ATPase_1
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_12,7144,8292,reverse,1,0.27,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_13,8302,8577,forward,0,0.257,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_14,8592,10394,reverse,1,0.324,MCP_1
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_15,10431,10628,reverse,1,0.298,hypothetical
Damh_tig00018526-10-141480_vph,Damh_tig00018526-10-141480_vph_16,10653,13964,reverse,1,0.27,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_1,33,551,reverse,1,0.22,PRO_1
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_2,584,868,reverse,1,0.274,Penton_1
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_3,996,1691,reverse,1,0.292,Penton_1
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_4,1731,2552,forward,0,0.206,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_5,2552,2692,forward,0,0.227,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_6,2701,2943,forward,0,0.235,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_7,3332,3478,forward,0,0.177,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_8,3770,5002,forward,0,0.299,MCP_1
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_9,5379,5528,forward,0,0.287,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_10,5721,5888,forward,0,0.268,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_11,5918,6109,forward,0,0.292,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_12,6116,6343,forward,0,0.417,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_13,7341,8063,forward,0,0.231,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_14,8020,8238,forward,0,0.187,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_15,8300,8479,reverse,1,0.222,hypothetical
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_16,8531,8833,forward,0,0.234,ATPase_1
Damh_tig00046628-10-92530_vph,Damh_tig00046628-10-92530_vph_17,8959,9303,forward,0,0.232,ATPase_1
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_1,3,1073,reverse,1,0.398,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_2,1157,1447,forward,0,0.405,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_3,1486,1746,reverse,1,0.425,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_4,1755,2483,reverse,1,0.398,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_5,2613,3245,reverse,1,0.374,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_6,3307,3636,forward,0,0.421,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_7,3693,4019,forward,0,0.437,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_8,4459,6729,forward,0,0.428,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_9,6713,7243,reverse,1,0.444,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_10,7355,7873,forward,0,0.441,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_11,7926,8552,forward,0,0.396,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_12,8533,8742,reverse,1,0.395,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_13,8755,9633,reverse,1,0.435,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_14,9692,10204,forward,0,0.423,PRO_1
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_15,10250,10474,reverse,1,0.427,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_16,10517,11167,reverse,1,0.456,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_17,11261,11635,reverse,1,0.451,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_18,11690,12451,reverse,1,0.44,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_19,12517,12843,forward,0,0.419,MCP_1
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_20,13164,14798,forward,0,0.449,MCP_1
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_21,14924,15313,forward,0,0.413,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_22,15310,15477,reverse,1,0.399,hypothetical
Fred_tig00051270-10-161640_vph,Fred_tig00051270-10-161640_vph_23,15455,16168,reverse,1,0.412,Penton_1
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_1,3,404,forward,0,0.244,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_2,504,1199,forward,0,0.241,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_3,1331,1534,forward,0,0.235,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_4,1518,2996,forward,0,0.261,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_5,3058,3243,forward,0,0.301,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_6,3289,5097,forward,0,0.337,MCP_1
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_7,5112,5387,reverse,1,0.243,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_8,5397,6557,forward,0,0.289,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_9,6631,6747,forward,0,0.291,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_10,6744,7397,forward,0,0.315,ATPase_1
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_11,7447,8298,reverse,1,0.329,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_12,8313,9380,reverse,1,0.359,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_13,9412,10542,reverse,1,0.3,Penton_1
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_14,10505,11032,reverse,1,0.284,PRO_1
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_15,11075,11674,forward,0,0.308,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_16,11690,12064,reverse,1,0.341,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_17,12009,12488,reverse,1,0.304,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_18,12545,12805,reverse,1,0.234,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_19,13021,13194,reverse,1,0.287,hypothetical
Fred_tig00089364-10-137080_vph,Fred_tig00089364-10-137080_vph_20,13191,13538,reverse,1,0.273,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_1,122,442,reverse,1,0.259,PRO_1
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_2,474,1574,reverse,1,0.272,Penton_1
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_3,1621,3192,forward,0,0.239,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_4,3221,3595,forward,0,0.275,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_5,3607,3786,forward,0,0.183,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_6,3816,4052,reverse,1,0.224,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_7,4170,5579,forward,0,0.333,MCP_1
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_8,5747,6010,forward,0,0.311,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_9,5988,6680,forward,0,0.339,hypothetical
Hade_tig00086668-10-71420_vph,Hade_tig00086668-10-71420_vph_10,6711,6926,forward,0,0.25,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_1,2108,2497,forward,0,0.3,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_2,2498,2785,reverse,1,0.288,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_3,3014,3244,reverse,1,0.268,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_4,3189,3365,reverse,1,0.277,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_5,3466,3759,reverse,1,0.299,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_6,3769,4326,forward,0,0.301,PRO_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_7,4323,5120,reverse,1,0.321,ATPase_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_8,5148,5375,forward,0,0.307,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_9,5349,5918,reverse,1,0.279,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_10,5995,6384,forward,0,0.338,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_11,6441,7220,forward,0,0.324,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_12,7694,10537,forward,0,0.291,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_13,10506,10712,forward,0,0.3,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_14,11143,11319,reverse,1,0.328,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_15,11393,11761,forward,0,0.298,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_16,11855,12352,forward,0,0.305,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_17,12408,12788,forward,0,0.331,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_18,12833,13237,forward,0,0.348,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_19,13281,14582,forward,0,0.293,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_20,14579,15604,reverse,1,0.303,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_21,15648,15965,forward,0,0.289,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_22,15981,16211,forward,0,0.277,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_23,16244,18748,forward,0,0.324,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_24,18745,19440,reverse,1,0.276,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_25,19483,20580,forward,0,0.318,Penton_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_26,20642,21265,forward,0,0.338,MCP_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_27,21296,21901,forward,0,0.338,MCP_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_28,21850,22197,forward,0,0.394,MCP_1
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_29,22420,23241,forward,0,0.342,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_30,23286,23504,forward,0,0.297,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_31,23464,23826,forward,0,0.3,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_32,23771,23947,forward,0,0.282,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_33,23952,24230,forward,0,0.28,hypothetical
Lyne_tig00028020-10-249450_vph,Lyne_tig00028020-10-249450_vph_34,24227,24832,forward,0,0.267,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_1,1,513,forward,0,0.429,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_2,1668,2390,reverse,1,0.405,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_3,3325,3585,forward,0,0.284,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_4,3676,4389,forward,0,0.422,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_5,4452,5006,reverse,1,0.245,PRO_1
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_6,5038,6138,reverse,1,0.275,Penton_1
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_7,6185,7756,forward,0,0.232,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_8,7785,8159,forward,0,0.275,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_9,8171,8350,forward,0,0.194,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_10,8380,8595,reverse,1,0.218,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_11,8641,8991,reverse,1,0.256,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_12,9069,10763,forward,0,0.329,MCP_1
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_13,10917,11849,forward,0,0.326,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_14,11880,12116,forward,0,0.27,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_15,12091,12546,forward,0,0.272,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_16,12597,13385,forward,0,0.26,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_17,13382,13624,reverse,1,0.259,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_18,13681,14484,forward,0,0.231,ATPase_1
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_19,14493,16079,reverse,1,0.343,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_20,16103,16906,reverse,1,0.292,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_21,16967,17488,reverse,1,0.318,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_22,17540,18175,forward,0,0.272,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_23,18181,18351,reverse,1,0.216,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_24,18398,18685,reverse,1,0.243,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_25,18698,18880,reverse,1,0.186,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_26,18943,20058,forward,0,0.286,hypothetical
Lyne_tig00033829-10-240680_vph,Lyne_tig00033829-10-240680_vph_27,20156,20593,reverse,1,0.263,hypothetical
