Genome Abbreviated ID,Genome full ID,Source dataset,Dataset type,Dataset ID,Genome topology,Genome length,ANI clustering status,ANI cluster,Predicted completeness,List of virophage marker genes,gwAAI group,MCP tree group,Blast-based affiliation,Dataset publication doi (or other comparable reference),Proposal doi (for JGI datasets)
IMG_VR_0080,IMGVR_UViG_3300002272_000021|3300002272|B570J29579_100079,IMG_VR v3,Metagenome,3300002272,Linear,16097,Clustered,IMG_VR_0102,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.7717/peerj.6075,10.46936/10.25585/60000533
IMG_VR_0081,IMGVR_UViG_3300002301_000242|3300002301|JGI24891J29808_1000555,IMG_VR v3,Metagenome,3300002301,Linear,17982,Clustered,IMG_VR_0059,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18,10.46936/10.25585/60000619
IMG_VR_0082,IMGVR_UViG_3300002301_000243|3300002301|JGI24891J29808_1000717,IMG_VR v3,Metagenome,3300002301,Linear,12591,Seed,IMG_VR_0082,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18,10.46936/10.25585/60000619
IMG_VR_0083,IMGVR_UViG_3300002301_000244|3300002301|JGI24891J29808_1000957,IMG_VR v3,Metagenome,3300002301,Linear,7886,Seed,IMG_VR_0083,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18,10.46936/10.25585/60000619
IMG_VR_0084,IMGVR_UViG_3300002307_000984|3300002307|JGI24890J29729_1000225,IMG_VR v3,Metagenome,3300002307,Concatemer,23742,Clustered,PE_020,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0085,IMGVR_UViG_3300002307_000985|3300002307|JGI24890J29729_1000388,IMG_VR v3,Metagenome,3300002307,Linear,29212,Clustered,IMG_VR_0064,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0086,IMGVR_UViG_3300002307_000986|3300002307|JGI24890J29729_1000442,IMG_VR v3,Metagenome,3300002307,Linear,26375,Seed,IMG_VR_0086,Near-complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0087,IMGVR_UViG_3300002307_000987|3300002307|JGI24890J29729_1000451,IMG_VR v3,Metagenome,3300002307,DTR,26050,Clustered,PE_022,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0088,IMGVR_UViG_3300002307_000988|3300002307|JGI24890J29729_1000626,IMG_VR v3,Metagenome,3300002307,Linear,20771,Seed,IMG_VR_0088,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0089,IMGVR_UViG_3300002307_000989|3300002307|JGI24890J29729_1000627,IMG_VR v3,Metagenome,3300002307,Linear,20761,Seed,IMG_VR_0089,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0090,IMGVR_UViG_3300002307_000990|3300002307|JGI24890J29729_1000652,IMG_VR v3,Metagenome,3300002307,Linear,20233,Seed,IMG_VR_0090,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0091,IMGVR_UViG_3300002307_000991|3300002307|JGI24890J29729_1000712,IMG_VR v3,Metagenome,3300002307,Linear,18899,Seed,IMG_VR_0091,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0092,IMGVR_UViG_3300002307_000992|3300002307|JGI24890J29729_1000980,IMG_VR v3,Metagenome,3300002307,Linear,14413,Clustered,IMG_VR_0059,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0093,IMGVR_UViG_3300002307_000993|3300002307|JGI24890J29729_1000994,IMG_VR v3,Metagenome,3300002307,Linear,14238,Clustered,IMG_VR_0077,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0094,IMGVR_UViG_3300002307_000994|3300002307|JGI24890J29729_1001704,IMG_VR v3,Metagenome,3300002307,Linear,9319,Clustered,IMG_VR_0679,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
